what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1436355490791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355493431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355600296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436355602552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355608492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355610238
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436355614307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355617749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355638637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1436355638702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436355640542
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436355645415
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1436355646858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355648185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355649276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355649479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355651142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355651214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355652524
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1436355656731
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1436355656745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355659372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355690423
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436355691769
error,log,,,"Could not resolve: module:/resource/activation/activation",1436355707818
error,log,,,"Could not resolve: module:/resource/mail/mail",1436355707819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436355708109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355721009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436355721632
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436355731294
