what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436358112761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1436358112761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358114667
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436358116683
error,log,,,"Unhandled event loop exception",1436358119027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358126542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358127667
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1436358127714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358131827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358131842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358132311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358185670
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436358189483
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1436358189578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358191125
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358192531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358192640
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358194453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436358203878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358208957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358210628
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1436358210675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358214647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358214663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358215131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358328545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358328639
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436358355811
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436358358311
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1436358358495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358359370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436358362057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358366401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358367713
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1436358367760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358371873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358371873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358372357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358484328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358488578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436358500171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436358503750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436358506562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358508500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358510875
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436358510891
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1436358512533
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1436358513080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358513642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358536376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436358554939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358556814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358563173
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436358569642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358576189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436358577392
